"sales1_id","chan2_id","chan1_id","dma1_id"
"Acquisition Bundles","Acquisition Bundles","Base","National"
"Acquisition Bundles","Connectivity","Dailies","National"
"Acquisition Bundles","Connectivity","DoortoDoor","National"
"Acquisition Bundles","Connectivity","Facebook","National"
"Acquisition Bundles","Connectivity","Outdoor","National"
"Acquisition Bundles","Connectivity","Radio","National"
"Acquisition Bundles","Connectivity","Television","National"
"Acquisition Bundles","Connectivity_Acquisition","Direct Marketing","National"
"Acquisition Bundles","Connectivity_Acquisition","Email","National"
"Acquisition Bundles","Connectivity_Acquisition","Outbound Calls","National"
"Acquisition Bundles","Connectivity_Banner","Online Display","National"
"Acquisition Bundles","Connectivity_Bundle","Promotion","National"
"Acquisition Bundles","Connectivity_Unbranded","Search","National"
"Acquisition DTV - TV only","Acquisition DTV - TV only","Base","National"
"Acquisition DTV - TV only","Connectivity","DoortoDoor","National"
"Acquisition DTV - TV only","Connectivity","Facebook","National"
"Acquisition DTV - TV only","Connectivity","Outdoor","National"
"Acquisition DTV - TV only","Connectivity","Radio","National"
"Acquisition DTV - TV only","Connectivity","Television","National"
"Acquisition DTV - TV only","Connectivity_Acquisition","Direct Marketing","National"
"Acquisition DTV - TV only","Connectivity_Acquisition","Email","National"
"Acquisition DTV - TV only","Connectivity_Acquisition","Outbound Calls","National"
"Acquisition DTV - TV only","Connectivity_Banner","Online Display","National"
"Acquisition Internet Only","Acquisition Internet Only","Base","National"
"Acquisition Internet Only","Connectivity","DoortoDoor","National"
"Acquisition Internet Only","Connectivity","Facebook","National"
"Acquisition Internet Only","Connectivity","Outdoor","National"
"Acquisition Internet Only","Connectivity","Radio","National"
"Acquisition Internet Only","Connectivity","Television","National"
"Acquisition Internet Only","Connectivity_Acquisition","Email","National"
"Acquisition Internet Only","Connectivity_Acquisition","Outbound Calls","National"
"Acquisition Internet Only","Connectivity_INT","Promotion","National"
"Acquisition Internet Only","Connectivity_Unbranded","Search","National"
"Acquisition Internet Only","Connectivity_Video","Online Display","National"
"Acquisition Play","Acquisition Play","Base","National"
"Acquisition Play","Connectivity","DoortoDoor","National"
"Acquisition Play","Entertainment","Facebook","National"
"Acquisition Play","Entertainment","Promotion","National"
"Acquisition Play","Entertainment","Radio","National"
"Acquisition Play","Entertainment","Television","National"
"Acquisition Play","Entertainment_Acquisition","Direct Marketing","National"
"Acquisition Play","Entertainment_Acquisition","Email","National"
"Acquisition Play","Entertainment_Acquisition","Outbound Calls","National"
"Acquisition Play","Entertainment_Unbranded","Search","National"
"Acquisition Play","Entertainment_Video","Online Display","National"
"Acquisition Play More","Acquisition Play More","Base","National"
"Acquisition Play More","Connectivity","DoortoDoor","National"
"Acquisition Play More","Entertainment","Facebook","National"
"Acquisition Play More","Entertainment","Radio","National"
"Acquisition Play More","Entertainment","Television","National"
"Acquisition Play More","Entertainment_Acquisition","Direct Marketing","National"
"Acquisition Play More","Entertainment_Acquisition","Email","National"
"Acquisition Play More","Entertainment_Unbranded","Search","National"
"Acquisition Play More","Entertainment_Video","Online Display","National"
"Acquisition Play Sports","Acquisition Play Sports","Base","National"
"Acquisition Play Sports","Connectivity","DoortoDoor","National"
"Acquisition Play Sports","Entertainment","Facebook","National"
"Acquisition Play Sports","Entertainment","Radio","National"
"Acquisition Play Sports","Entertainment","Television","National"
"Acquisition Play Sports","Entertainment_Acquisition","Email","National"
"Acquisition Play Sports","Entertainment_Acquisition","Outbound Calls","National"
"Acquisition Play Sports","Entertainment_Unbranded","Search","National"
"Acquisition Play Sports","Entertainment_Video","Online Display","National"
"Churn 1P (INT or DTV)","Churn 1P (INT or DTV)","Base","National"
"Churn 1P (INT or DTV)","Connectivity","DoortoDoor","National"
"Churn 1P (INT or DTV)","Connectivity","Television","National"
"Churn 1P (INT or DTV)","Connectivity_Retention","Direct Marketing","National"
"Churn 1P (INT or DTV)","Connectivity_Retention","Outbound Calls","National"
"Churn 1P (INT or DTV)","Connectivity_Video","Online Display","National"
"Churn 2P 3P 4P","Churn 2P 3P 4P","Base","National"
"Churn 2P 3P 4P","Connectivity","Television","National"
"Churn 2P 3P 4P","Connectivity_Retention","Direct Marketing","National"
"Churn 2P 3P 4P","Connectivity_Retention","Outbound Calls","National"
"Churn 2P 3P 4P","Connectivity_Unbranded","Search","National"
"Churn 2P 3P 4P","Connectivity_Video","Online Display","National"
"Churn entertainment","Churn entertainment","Base","National"
"Churn entertainment","Connectivity","Television","National"
"Churn entertainment","Connectivity_Video","Online Display","National"
"Churn entertainment","Entertainment","Facebook","National"
"Churn entertainment","Entertainment_Retention","Direct Marketing","National"
"Churn entertainment","Entertainment_Retention","Outbound Calls","National"
"Churn entertainment","Entertainment_Unbranded","Search","National"
"Churn mobile","Churn mobile","Base","National"
"Churn mobile","Connectivity","Facebook","National"
"Churn mobile","Connectivity","Television","National"
"Churn mobile","Connectivity_Acquisition","Email","National"
"Churn mobile","Connectivity_Retention","Direct Marketing","National"
"Churn mobile","Connectivity_Retention","Outbound Calls","National"
"Churn mobile","Connectivity_Unbranded","Search","National"
"Churn mobile","Connectivity_Video","Online Display","National"
"Cross-Sell Mobile","Connectivity","Dailies","National"
"Cross-Sell Mobile","Connectivity","DoortoDoor","National"
"Cross-Sell Mobile","Connectivity","Facebook","National"
"Cross-Sell Mobile","Connectivity","Outdoor","National"
"Cross-Sell Mobile","Connectivity","Radio","National"
"Cross-Sell Mobile","Connectivity","Television","National"
"Cross-Sell Mobile","Connectivity_Banner","Online Display","National"
"Cross-Sell Mobile","Connectivity_Cross Sell","Direct Marketing","National"
"Cross-Sell Mobile","Connectivity_Cross Sell","Email","National"
"Cross-Sell Mobile","Connectivity_Cross Sell","Outbound Calls","National"
"Cross-Sell Mobile","Connectivity_Mobile","Promotion","National"
"Cross-Sell Mobile","Connectivity_Unbranded","Search","National"
"Cross-Sell Mobile","Cross-Sell Mobile","Base","National"
"Up-Sell Whop to Whoppa","Connectivity","Dailies","National"
"Up-Sell Whop to Whoppa","Connectivity","DoortoDoor","National"
"Up-Sell Whop to Whoppa","Connectivity","Facebook","National"
"Up-Sell Whop to Whoppa","Connectivity","Outdoor","National"
"Up-Sell Whop to Whoppa","Connectivity","Radio","National"
"Up-Sell Whop to Whoppa","Connectivity","Television","National"
"Up-Sell Whop to Whoppa","Connectivity_Banner","Online Display","National"
"Up-Sell Whop to Whoppa","Connectivity_Unbranded","Search","National"
"Up-Sell Whop to Whoppa","Connectivity_Upsell","Direct Marketing","National"
"Up-Sell Whop to Whoppa","Connectivity_Upsell","Email","National"
"Up-Sell Whop to Whoppa","Connectivity_Upsell","Outbound Calls","National"
"Up-Sell Whop to Whoppa","Up-Sell Whop to Whoppa","Base","National"
"Up-sell Play to Play More","Connectivity","DoortoDoor","National"
"Up-sell Play to Play More","Entertainment","Radio","National"
"Up-sell Play to Play More","Entertainment","Television","National"
"Up-sell Play to Play More","Entertainment_Banner","Online Display","National"
"Up-sell Play to Play More","Entertainment_Unbranded","Search","National"
"Up-sell Play to Play More","Entertainment_Upsell","Direct Marketing","National"
"Up-sell Play to Play More","Entertainment_Upsell","Outbound Calls","National"
"Up-sell Play to Play More","Entertainment_Video","Online Display","National"
"Up-sell Play to Play More","Up-sell Play to Play More","Base","National"
